S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
2166,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585650,2,Kondasantha,,Rural,Inhabitant,1664900,585650
2167,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585651,2,Kothagadabapalem,,Rural,Inhabitant,1665000,585651
2168,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585652,2,Ramapuram,,Rural,Inhabitant,1665100,585652
2169,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585656,2,Ramannapalem,,Rural,Inhabitant,1665500,585656
2170,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585658,2,Rabbasingi,,Rural,Inhabitant,1665700,585658
2171,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585660,2,Mallavaram,,Rural,Inhabitant,1665900,585660
2172,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585662,2,Gadabapalem,,Rural,Inhabitant,1666100,585662
2173,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585663,2,Chittempadu,,Rural,Inhabitant,1666200,585663
2174,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585665,2,Jammavaram,,Rural,Inhabitant,1666400,585665
2175,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585667,2,Gopavaram,,Rural,Inhabitant,1666600,585667
2176,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585668,2,Lingapuram,,Rural,Inhabitant,1666700,585668
2177,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585672,2,Valasampeta,,Rural,Inhabitant,1667100,585672
2178,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585674,2,Bheemavaram,,Rural,Inhabitant,1667300,585674
2179,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585678,2,Anthada,,Rural,Inhabitant,1667700,585678
2180,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585679,2,Gummalapalem,,Rural,Inhabitant,1667800,585679
2181,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585681,2,Paradesipakalu,,Rural,Inhabitant,1668000,585681
2182,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585686,2,Kithalova,,Rural,Inhabitant,1668500,585686
2183,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585688,2,Adakula,,Rural,Inhabitant,1668700,585688
2184,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585689,2,Kantharam,,Rural,Inhabitant,1668800,585689
2185,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585690,2,Balaram,,Rural,Inhabitant,1668900,585690
2186,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585691,2,Padi,,Rural,Inhabitant,1669000,585691
2187,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585695,2,Gantavari Kothagudem,,Rural,Inhabitant,1669400,585695
2188,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585696,2,Chappidi Mamidi,,Rural,Inhabitant,1669500,585696
2189,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585698,2,Godugula Manubanda,,Rural,Inhabitant,1669700,585698
2190,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585700,2,Daragedda,,Rural,Inhabitant,1669900,585700
2191,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585702,2,Kumbarlubanda,,Rural,Inhabitant,1670100,585702
2192,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585703,2,Puturugedda,,Rural,Inhabitant,1670200,585703
2193,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585706,2,Dhonipalem,,Rural,Inhabitant,1670500,585706
2194,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585708,2,Sitharampadu,,Rural,Inhabitant,1670700,585708
2195,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585710,2,Daddugula,,Rural,Inhabitant,1670900,585710
2196,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585711,2,Rolangi,,Rural,Inhabitant,1671000,585711
2197,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585712,2,Lankaveedhi,,Rural,Inhabitant,1671100,585712
2198,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585713,2,Chatarai,,Rural,Inhabitant,1671200,585713
2199,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,912630,2,Nadimpalem,,Rural,Inhabitant,0,0
2200,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,912637,2,Ankampalem,,Rural,Inhabitant,0,0
2201,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585552,2,Valugudem,,Rural,Inhabitant,1655100,585552
2202,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585553,2,Mattam Bhimavaram,,Rural,Inhabitant,1655200,585553
